id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
31133;Audrianna;Nobility: strength.;Female;English;899;04.07.2016 20:02:27;myData.biz
31134;Audric;noble friend;Male;German;890;04.07.2016 20:02:33;myData.biz
31135;Audric;Old and wise ruler.;Male;English;890;04.07.2016 20:02:39;myData.biz
31136;Audric;Old or wise ruler;Male;French;890;04.07.2016 20:02:47;myData.biz
31137;Audric;old, wise ruler;Male;French;890;04.07.2016 20:02:55;myData.biz
31138;Audrick;Noble friend;Male;German;149;04.07.2016 20:03:08;myData.biz
31139;Audrie;Nobility: strength.;Female;English;2000;04.07.2016 20:03:14;myData.biz
31140;Audrielle;Nobility: strength.;Female;English;28;04.07.2016 20:03:22;myData.biz
31141;Audrina;Nobility: strength.;Female;English;1000;04.07.2016 20:03:29;myData.biz
31142;Audris;Nobility: strength.;Female;English;361;04.07.2016 20:03:38;myData.biz
31143;Audron;Golden.;Female;Unknown;63;04.07.2016 20:03:45;myData.biz
31144;Audwin;Noble friend;Male;German;261;04.07.2016 20:03:54;myData.biz
31145;Audwine;Noble friend;Male;German;5;04.07.2016 20:04:01;myData.biz
31146;Augusteen;Feminine form of Augustine great;Female;Irish;84;04.07.2016 20:04:10;myData.biz
31147;Augustina;worthy of respect;Female;Romanian;3000;04.07.2016 20:04:17;myData.biz
31148;Augustine;Majestic dignity: grandeur.;Male;German;89000;04.07.2016 20:04:24;myData.biz
31149;Augustus;Majestic dignity: grandeur.;Male;German;14000;04.07.2016 20:04:33;myData.biz
31150;Augwys;Brother of Lot;Male;Arthurian Legend;0;04.07.2016 20:04:39;myData.biz
31151;Augwys;brother of Lot (thirteenth century);Male;Arthurian;0;04.07.2016 20:04:47;myData.biz
31152;Auhert;Noble;Male;French;11;04.07.2016 20:05:00;myData.biz
31153;Aulanna;;Female;Unknown;1;04.07.2016 20:05:04;myData.biz
31154;Auley;Irish form of Olaf;Male;Irish;628;04.07.2016 20:05:15;myData.biz
31155;Auliffe;Irish form of Olaf;Male;Irish;352;04.07.2016 20:05:22;myData.biz
31156;Aundre;Manly: brave. Modern variant of Andrew.;Male;English;685;04.07.2016 20:05:29;myData.biz
31157;Aure;soft breeze;Female;Greek;4000;04.07.2016 20:05:37;myData.biz
31158;Aurea;gentle music;Female;English;12000;04.07.2016 20:05:45;myData.biz
31159;Aurear;Gentle music;Female;English;4;04.07.2016 20:05:52;myData.biz
31160;Aurel;golden;Male;Romanian;17000;04.07.2016 20:06:00;myData.biz
31161;Aurelia;gold;Female;Hungarian;29000;04.07.2016 20:06:08;myData.biz
31162;Aurelia;gold;Female;Romanian;29000;04.07.2016 20:06:15;myData.biz
31163;Aurelia;Golden;Female;Spanish;29000;04.07.2016 20:06:23;myData.biz
31164;Aureliana;Golden;Female;Spanish;374;04.07.2016 20:06:33;myData.biz
31165;Aureliano;Golden.;Male;Spanish;4000;04.07.2016 20:06:41;myData.biz
31166;Aurelio;Gold;Male;Spanish;41000;04.07.2016 20:06:48;myData.biz
31167;Aurelius;Golden.;Male;Spanish;3000;04.07.2016 20:06:56;myData.biz
31168;Auriar;Gentle music;Female;English;0;04.07.2016 20:07:03;myData.biz
31169;Aurick;Noble leader;Male;German;143;04.07.2016 20:07:16;myData.biz
31170;Aurick;Noble valor;Male;English;143;04.07.2016 20:07:19;myData.biz
31171;Aurik;Noble leader;Male;German;177;04.07.2016 20:07:31;myData.biz
31172;Auriville;From the gold town;Male;French;17;04.07.2016 20:07:44;myData.biz
31173;Aurkena;Present;Female;Spanish;43;04.07.2016 20:07:56;myData.biz
31174;Aurkene;Present;Female;Spanish;84;04.07.2016 20:08:03;myData.biz
31175;Aurnia;Golden lady;Female;Irish;56;04.07.2016 20:08:10;myData.biz
31176;Aurora;"&quot;Dawn.&quot; According to ancient Greek mythology, Aurora is the goddess of the dawn. Aurora was mother of Memnon, King of Aethiopia, whose African troops came to the aid of the Trojans at Troy.She is also known as EOS.";Female;African;262000;04.07.2016 20:08:16;myData.biz
31177;Aurore;Dawn. Aurora was the mythological Roman goddess of dawn. Aura was goddess of breezes.;Female;French;16000;04.07.2016 20:08:25;myData.biz
31178;Ausar;myth name (another name for Osiris);Male;Egyptian;360;04.07.2016 20:08:33;myData.biz
31179;Auset;myth name (another name for Isis);Female;Egyptian;312;04.07.2016 20:08:42;myData.biz
31180;Aushara;Blessings from heaven.;Female;Unknown;5;04.07.2016 20:08:48;myData.biz
31181;Austen;Variant of Augustine.;Female;English;12000;04.07.2016 20:08:56;myData.biz
31182;Austen;Variant of Augustine.;Male;English;12000;04.07.2016 20:09:03;myData.biz
31183;Austen;Variant of Augustine.;Male;French;12000;04.07.2016 20:09:11;myData.biz
31184;Auster;myth name;Male;Greek;1000;04.07.2016 20:09:20;myData.biz
31185;Austin;Variant of Augustine.;Male;English;1000000;04.07.2016 20:09:29;myData.biz
31186;Austin;Variant of Augustine.;Male;French;1000000;04.07.2016 20:09:35;myData.biz
31187;Austina;Variant of Augustine.;Female;English;498;04.07.2016 20:09:47;myData.biz
31188;Austina;Variant of Augustine.;Female;French;498;04.07.2016 20:09:51;myData.biz
31189;Austine;Variant of Augustine.;Female;English;5000;04.07.2016 20:10:01;myData.biz
31190;Austine;Variant of Augustine.;Female;French;5000;04.07.2016 20:10:07;myData.biz
31191;Austyn;Variant of Augustine.;Male;English;3000;04.07.2016 20:10:19;myData.biz
31192;Austyn;Variant of Augustine.;Male;French;3000;04.07.2016 20:10:23;myData.biz
31193;Autena;God hears me.;Female;Persian;6;04.07.2016 20:10:34;myData.biz
31194;Autolycus;myth name (son of Hermes);Male;Greek;43;04.07.2016 20:10:42;myData.biz
31195;Autonoe;myth name (mother of Actaeon);Female;Greek;6;04.07.2016 20:10:49;myData.biz
31196;Autumn;born in the fall;Female;English;69000;04.07.2016 20:10:57;myData.biz
31197;Autumn;Born in the fall: The fall season.;Female;English;69000;04.07.2016 20:11:05;myData.biz
31198;Autumn;myth name;Female;Greek;69000;04.07.2016 20:11:11;myData.biz
31199;Ava;Variant of medieval given names Avis and Aveline;Female;English;74000;04.07.2016 20:11:20;myData.biz
31200;Avagail;My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.;Female;Hebrew;25;04.07.2016 20:11:32;myData.biz
31201;Avah;Variant of medieval given names Avis and Aveline;Female;English;542;04.07.2016 20:11:37;myData.biz
31202;Avalee;Variant of medieval given names Avis and Aveline;Female;English;87;04.07.2016 20:11:46;myData.biz
31203;Avalei;A refuge in battle.;Female;English;4;04.07.2016 20:11:53;myData.biz
31204;Avalloc;Father of Modron;Male;Arthurian Legend;3;04.07.2016 20:11:59;myData.biz
31205;Avalon;Arthur's burial place;Female;Arthurian;30000;04.07.2016 20:12:08;myData.biz
31206;Avalon;Arthur's burial place;Female;Arthurian Legend;30000;04.07.2016 20:12:15;myData.biz
31207;Avarair;from Avarair;Male;Armenian;1;04.07.2016 20:12:23;myData.biz
31208;Avaron;Arthur's burial place;Female;Arthurian Legend;107;04.07.2016 20:12:36;myData.biz
31209;Avarona;Arthur's burial place;Female;Arthurian Legend;6;04.07.2016 20:12:40;myData.biz
31210;Avedis;brings good news;Male;Armenian;946;04.07.2016 20:12:49;myData.biz
31211;Avelaine;Nut;Female;French;30;04.07.2016 20:13:03;myData.biz
31212;Avelina;Variant of medieval given names Avis and Aveline;Female;English;3000;04.07.2016 20:13:05;myData.biz
31213;Aveline;Nut;Female;French;1000;04.07.2016 20:13:13;myData.biz
31214;Aveline;Variant of medieval given names Avis and Aveline;Female;English;1000;04.07.2016 20:13:19;myData.biz
31215;Avelyn;Variant of medieval given names Avis and Aveline;Female;English;393;04.07.2016 20:13:30;myData.biz
31216;Avenall;Lives near the oatfield;Male;French;24;04.07.2016 20:13:39;myData.biz
31217;Aveneil;Lives near the oatfield;Male;French;4;04.07.2016 20:13:44;myData.biz
31218;Avenelle;Lives near the oatfield;Male;French;31;04.07.2016 20:13:53;myData.biz
31219;Avent;Born during Advent;Male;French;3000;04.07.2016 20:14:01;myData.biz
31220;Avera;Transgresses;Female;Hebrew;4000;04.07.2016 20:14:10;myData.biz
31221;Averell;Wild boar;Male;English;487;04.07.2016 20:14:19;myData.biz
31222;Averey;"""Strong, wise, desired one.""";Male;African;129;04.07.2016 20:14:26;myData.biz
31223;Averil;born in April;Male;Anglo;1000;04.07.2016 20:14:33;myData.biz
31224;Averil;Born in April;Male;Anglo-Saxon;1000;04.07.2016 20:14:40;myData.biz
31225;Averil;Opening buds of spring: born in April.;Female;English;1000;04.07.2016 20:14:47;myData.biz
31226;Averil;Wild boar;Male;English;1000;04.07.2016 20:14:55;myData.biz
31227;Averill;Born in April;Male;Anglo-Saxon;4000;04.07.2016 20:15:04;myData.biz
31228;Averill;Opening buds of spring: born in April.;Female;English;4000;04.07.2016 20:15:11;myData.biz
31229;Averill;Wild boar;Male;English;4000;04.07.2016 20:15:19;myData.biz
31230;Avernus;myth name (portal to Hades);Male;Greek;158;04.07.2016 20:15:29;myData.biz
31231;Avery;elf ruler;Male;English;104000;04.07.2016 20:15:36;myData.biz
